Original,,,aWhere,,,,,,,,,,,
Village_Sun_colline,Latitude.original,longtitude.original,Latitude.awhere,longtitude.awhere,lat_d,lat_m,lat_o,lat_decimal,lon_d,lon_m,lon_o,lon_decimal,,
1,02 50 7519,028 47 4250,2507519000,2847425000,2,50,7519000,-2.833333333,28,47,7425000,28.78333333,,
2,2157599,28532968,2157599000,2853296800,2,15,7599000,-2.25,28,53,3296800,28.88333333,,
3,,,0,0,0,0,0,0,0,0,0,0,,Use these
4,02 45 9943,028 40 1715,2459943000,2840171500,2,45,9943000,-2.75,28,40,171500,28.66666667,,
5,02 45 8365,028 40 4388,2458365000,2840438800,2,45,8365000,-2.75,28,40,438800,28.66666667,,
6,02 41 2163,028 34 0852,2412163000,2834085200,2,41,2163000,-2.683333333,28,34,4085200,28.56666667,,
7,02 41 2615,028 34 2255,2412615000,2834225500,2,41,2615000,-2.683333333,28,34,4225500,28.56666667,,
8,02 51 3275,028 47 1782,2513275000,2847178200,2,51,3275000,-2.85,28,47,7178200,28.78333333,,
9,02 51 3864,028 47 2382,2513864000,2847238200,2,51,3864000,-2.85,28,47,7238200,28.78333333,,
10,02 21 3236,028 47 5894,2213236000,2847589400,2,21,3236000,-2.35,28,47,7589400,28.78333333,,
11,02 14 7761,028 48 6173,2147761000,2848617300,2,14,7761000,-2.233333333,28,48,8617300,28.8,,
12,02 14 7512,028 48 6243,2147512000,2848624300,2,14,7512000,-2.233333333,28,48,8624300,28.8,,
13,02 20 0100,028 48 9615,2200100000,2848961500,2,20,1.00E+05,-2.333333333,28,48,8961500,28.8,,
14,02 20 0573,028 48 9375,2200573000,2848937500,2,20,573000,-2.333333333,28,48,8937500,28.8,,
16,215.7355957,2853.386719,2157355957,2853386719,2,15,7355957,-2.25,28,53,3386719,28.88333333,,
17,244.8674927,2840.400879,2448674927,2840400879,2,44,8674927,-2.733333333,28,40,400879,28.66666667,,
18,246.0402985,2841.169434,2460402985,2841169434,2,46,402985,-2.766666667,28,41,1169434,28.68333333,,
19,245.831604,2840.333496,2458316040,2840333496,2,45,8316040,-2.75,28,40,333496,28.66666667,,
20,242.2463074,2833.550293,2422463074,2833550293,2,42,2463074,-2.7,28,33,3550293,28.55,,
21,251.017395,2847.421631,2510173950,2847421631,2,51,173950,-2.85,28,47,7421631,28.78333333,,
22,250.6920013,2847.424072,2506920013,2847424072,2,50,6920013,-2.833333333,28,47,7424072,28.78333333,,
23,250.6912994,2847.05542,2506912994,2847055420,2,50,6912994,-2.833333333,28,47,7055420,28.78333333,,
24,250.3816071,2844.766113,2503816071,2844766113,2,50,3816071,-2.833333333,28,44,4766113,28.73333333,,
25,250.4049072,2844.775635,2504049072,2844775635,2,50,4049072,-2.833333333,28,44,4775635,28.73333333,,
26,250.3076935,2844.727051,2503076935,2844727051,2,50,3076935,-2.833333333,28,44,4727051,28.73333333,,
27,250.8356934,2844.634766,2508356934,2844634766,2,50,8356934,-2.833333333,28,44,4634766,28.73333333,,
28,250.5825043,2844.514648,2505825043,2844514648,2,50,5825043,-2.833333333,28,44,4514648,28.73333333,,
29,215.0296021,2848.868408,2150296021,2848868408,2,15,296021,-2.25,28,48,8868408,28.8,,
30,221.2684937,2846.631104,2212684937,2846631104,2,21,2684937,-2.35,28,46,6631104,28.76666667,,
31,221.2776031,2847.551025,2212776031,2847551025,2,21,2776031,-2.35,28,47,7551025,28.78333333,,
32,220.4557037,2849.165039,2204557037,2849165039,2,20,4557037,-2.333333333,28,49,9165039,28.81666667,,
33,220.3462982,2848.98999,2203462982,2848989990,2,20,3462982,-2.333333333,28,48,8989990,28.8,,
34,02 49 1698,028  49  1355,2491698000,2849135500,2,49,1698000,-2.816666667,28,49,9135500,28.81666667,,
35,02 15.5898,028  53 . 4474,2155898000,2853447400,2,15,5898000,-2.25,28,53,3447400,28.88333333,,
36,02  50 1706,028  44  5440,2501706000,2844544000,2,50,1706000,-2.833333333,28,44,4544000,28.73333333,,
37,0,0,0,0,0,0,0,0,0,0,0,0,,
38,02 50 1666,028 45  1256,2501666000,2845125600,2,50,1666000,-2.833333333,28,45,5125600,28.75,,
39,02  45  0421,028  40  3484,2450421000,2840348400,2,45,421000,-2.75,28,40,348400,28.66666667,,
40,02  45  8362,028  40  3999,2458362000,2840399900,2,45,8362000,-2.75,28,40,399900,28.66666667,,
41,02 45 8831,028  47  3622,2458831000,2847362200,2,45,8831000,-2.75,28,47,7362200,28.78333333,,
42,02 42 6747,028  33  9630,2426747000,2833963000,2,42,6747000,-2.7,28,33,3963000,28.55,,
43,02 51 0042,028  47  4382,2510042000,2847438200,2,51,42000,-2.85,28,47,7438200,28.78333333,,
44,02 50 8386,028 46 9334,2508386000,2846933400,2,50,8386000,-2.833333333,28,46,6933400,28.76666667,,
45,02  50  7744,028  47  2104,2507744000,2847210400,2,50,7744000,-2.833333333,28,47,7210400,28.78333333,,
46,02  50  7156,028  44  5562,2507156000,2844556200,2,50,7156000,-2.833333333,28,44,4556200,28.73333333,,
47,02  50  7912,028 44 5946,2507912000,2844594600,2,50,7912000,-2.833333333,28,44,4594600,28.73333333,,
48,02 16 0468,028 49 4048,2160468000,2849404800,2,16,468000,-2.266666667,28,49,9404800,28.81666667,,
49,02  16  0471,028 49 5144,2160471000,2849514400,2,16,471000,-2.266666667,28,49,9514400,28.81666667,,
50,02 16 1087,028 50 5248,2161087000,2850524800,2,16,1087000,-2.266666667,28,50,524800,28.83333333,,
51,02 19 9286,028 48 9408,2199286000,2848940800,2,19,9286000,-2.316666667,28,48,8940800,28.8,,
52,02 19 9302,028 49 0539,2199302000,2849053900,2,19,9302000,-2.316666667,28,49,9053900,28.81666667,,
53,244.7713013,2840.6832,2447713013,2840683200,2,44,7713013,-2.733333333,28,40,683200,28.66666667,,
54,246.3522949,2840.3763,2463522949,2840376300,2,46,3522949,-2.766666667,28,40,376300,28.66666667,,
55,246.4098053,2840.3624,2464098053,2840362400,2,46,4098053,-2.766666667,28,40,362400,28.66666667,,
56,241.9477997,2834.0621,2419477997,2834062100,2,41,9477997,-2.683333333,28,34,4062100,28.56666667,,
57,251.1300964,028.47.4190,2511300964,2847419000,2,51,1300964,-2.85,28,47,7419000,28.78333333,,
